Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TT,Using a different method/tool/species for crop rotations,20,"Using a different frequency for crop rotations (e.g., growing the main crop every two years vs every four years)",,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TT,Using a different method/tool/species for crop rotations,NEC,"Using a different method/tool/species for crop rotations, n.e.c.",,
10,Crop management,NEC,"Crop management, n.e.c.",,,,,,,,
20,Soil management,10,Preparing the soil,10,"Landscaping (e.g., terracing and managing drainage)",TC,Landscaping (vs control),NEC,"Landscaping (vs control), n.e.c.",,
20,Soil management,10,Preparing the soil,10,"Landscaping (e.g., terracing and managing drainage)",TT,Landscaping using a different method/tool,NEC,"Landscaping using a different method/tool, n.e.c.",,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TC,Tilling the soil (vs control; i.e. vs no tillage),NEC,"Tilling the soil (vs control; i.e. vs no tillage), n.e.c.",,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,10,"Contour plowing (e.g., on slopes)",,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,20,"Tilling the soil less (e.g.,, conservation tillage/minimum tillage/reduced tillage)",Tilling the soil less frequently,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,20,"Tilling the soil less (e.g.,, conservation tillage/minimum tillage/reduced tillage)",Tilling the soil less deeply,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,20,"Tilling the soil less (e.g.,, conservation tillage/minimum tillage/reduced tillage)",Tilling the soil less quickly,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,30,"Tilling the soil more (e.g., ripping/subsoiling to reduce compaction)",Tilling the soil more deeply,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,40,"Tilling the soil using machinery (e.g., vs tilling using hand tools)",Tilling the soil using lightweight/small machinery,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,50,"Tilling the soil using a different tool (e.g., disc harrow vs moldboard plow)",,
20,Soil management,10,Preparing the soil,20,Tilling the soil (i.e. plowing/harrowing),TT,Tilling the soil using a different method/tool,NEC,"Tilling the soil using a different method/tool, n.e.c.",,
20,Soil management,10,Preparing the soil,30,"Preparing the planting bed (e.g., levelling and making raised beds)",TC,Preparing the planting bed (vs control),10,"Making mounds, ridges, or raised beds",,
20,Soil management,10,Preparing the soil,30,"Preparing the planting bed (e.g., levelling and making raised beds)",TC,Preparing the planting bed (vs control),NEC,"Preparing the planting bed (vs control), n.e.c.",,
20,Soil management,10,Preparing the soil,30,"Preparing the planting bed (e.g., levelling and making raised beds)",TT,Preparing the planting bed using a different method/tool,NEC,"Preparing the planting bed using a different method/tool, n.e.c.",,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),10,Adding ash to the soil,,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),20,Adding beneficial microorganisms (biofertilizer) to the soil,Inoculating the soil with bacteria (including rhizobacteria),
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),20,Adding beneficial microorganisms (biofertilizer) to the soil,Inoculating the soil with fungi (including mycorrhizae),
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),30,Adding biochar to the soil,,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),40,Adding compost to the soil,Adding composted manure,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),40,Adding compost to the soil,Adding composted municipal waste,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),40,Adding compost to the soil,Adding composted plants,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),40,Adding compost to the soil,"Adding compost, n.e.c.",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),50,Adding lime to the soil,,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),60,Adding manure to the soil,Adding liquid manure (slurry),
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),60,Adding manure to the soil,Adding solid manure,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),70,Adding sewage sludge to the soil,,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),80,"Mulching (i.e. adding a layer of material to the surface of the soil; also see ""managing crop residues"")","Mulching with organic matter (e.g., straw)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),80,"Mulching (i.e. adding a layer of material to the surface of the soil; also see ""managing crop residues"")","Mulching with synthetic material (e.g., plastic)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),90,Adding nitrification inhibitor to the soil,,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),100,"Adding synthetic fertilizer to the soil (including N, P, K, and other nutrients)",,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TC,Applying fertilizer and other soil amendments (vs control),NEC,"Applying fertilizer and other soil amendments (vs control), n.e.c.",,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,10,"Using a different amount of the amendment/fertilizer (e.g., using the recommended rate of fertilizer)",,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,20,Using a different method of applying the amendment/fertilizer,"Applying the fertilizer in a different place (e.g., injecting vs spreading; fertilizing planting holes; using band application)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,20,Using a different method of applying the amendment/fertilizer,"Applying the fertilizer at a different time (e.g., split application)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,30,Using a different type of amendment/fertilizer or mixture,"Using a different type of organic amendment (e.g., liquid vs solid manure; different types of compost)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,30,Using a different type of amendment/fertilizer or mixture,"Using a different type of synthetic fertilizer (e.g., different N:P:K ratio; liquid vs solid)",
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,30,Using a different type of amendment/fertilizer or mixture,Using an organic amendment vs a synthetic amendment,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,30,Using a different type of amendment/fertilizer or mixture,Using a mixture of organic and synthetic amendments,
20,Soil management,20,Fertilizing and irrigating,10,Applying fertilizer and other soil amendments,TT,Applying fertilizer and other soil amendments using a different method/tool/material,NEC,"Applying fertilizer and other soil amendments using a different method/tool/material, n.e.c.",,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TC,Using irrigation (vs control; i.e. vs rainfed cropping),10,Using drip tape,,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TC,Using irrigation (vs control; i.e. vs rainfed cropping),20,Using flood irrigation,,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TC,Using irrigation (vs control; i.e. vs rainfed cropping),30,Using furrow irrigation,,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TC,Using irrigation (vs control; i.e. vs rainfed cropping),40,Using sprinkler irrigation,,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TC,Using irrigation (vs control; i.e. vs rainfed cropping),NEC,"Using irrigation (vs control), n.e.c.",,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TT,Using a different method/tool/source of irrigation water,20,Using a different amount of irrigation water,,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TT,Using a different method/tool/source of irrigation water,10,Using a different type of irrigation system,"Using precision irrigation (e.g., vs flood/furrow irrigation)",
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TT,Using a different method/tool/source of irrigation water,30,Using a different type of irrigation water,Using recycled irrigation water,
20,Soil management,20,Fertilizing and irrigating,20,Irrigating,TT,Using a different method/tool/source of irrigation water,NEC,"Using a different method/tool/source of irrigation water, n.e.c.",,
20,Soil management,NEC,"Soil management, n.e.c.",,,,,,,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TC,Biological control of pathogens (vs no biological control),10,Introducing biological control agents for pathogens,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TC,Biological control of pathogens (vs no biological control),NEC,"Biological control of pathogens (vs no biological control), n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TT,Using a different method/tool/species for biological control of pathogens,NEC,"Using a different method/tool/species for biological control of pathogens, n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TC,Chemical control of pathogens (vs no chemical control),10,Using a fungicide or mixture of fungicides,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TC,Chemical control of pathogens (vs no chemical control),NEC,"Chemical control of pathogens (vs no chemical control), n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,10,Using a different amount of fungicide,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,20,Using a different method of applying fungicide,Fumigating the soil,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,30,Using a different type of fungicide or mixture of fungicides,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,NEC,"Using a different method/tool/chemical for chemical control of pathogens, n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),10,Destroying diseased plants in the field,Burning diseased plants in the field,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),10,Destroying diseased plants in the field,Burying diseased plants in the field,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),20,Removing diseased plants from the field,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),NEC,"Physical/mechanical control of pathogens (vs no physical/mechanical control), n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",10,"Pathogen control (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TT,Using a different method/tool for physical/mechanical control of pathogens,NEC,"Using a different method/tool for physical/mechanical control of pathogens, n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",10,Biological control of invertebrate pests,TC,Biological control of invertebrate pests (vs no biological control),10,Introducing biological control agents for invertebrate pests,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",10,Biological control of invertebrate pests,TC,Biological control of invertebrate pests (vs no biological control),20,Using a biopesticide or mixture of biopesticides,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",10,Biological control of invertebrate pests,TC,Biological control of invertebrate pests (vs no biological control),NEC,"Biological control of invertebrate pests (vs no biological control), n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",10,Biological control of invertebrate pests,TT,Using a different method/tool/species for biological control of invertebrate pests,NEC,"Using a different method/tool/species for biological control of invertebrate pests, n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TC,Chemical control of invertebrate pests (vs no chemical control),10,Using a pesticide or mixture of pesticides,Using organic pesticide,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TC,Chemical control of invertebrate pests (vs no chemical control),20,"Using chemical traps/lures (e.g., pheromone traps)",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TC,Chemical control of invertebrate pests (vs no chemical control),30,Using soap and water as a spray,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TC,Chemical control of invertebrate pests (vs no chemical control),NEC,"Chemical control of invertebrate pests (vs no chemical control), n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TT,Using a different method/tool/chemical for chemical control of invertebrate pests,10,Using a different amount of pesticide,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TT,Using a different method/tool/chemical for chemical control of invertebrate pests,20,Using a different method of applying pesticide,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TT,Using a different method/tool/chemical for chemical control of invertebrate pests,30,Using a different type of pesticide or mixture of pesticides,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",20,Chemical control of invertebrate pests,TT,Using a different method/tool/chemical for chemical control of invertebrate pests,NEC,"Using a different method/tool/chemical for chemical control of invertebrate pests, n.e.c.",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",30,Physical/mechanical control of invertebrate pests,TC,Physical/mechanical control of invertebrate pests (vs no physical/mechanical control),10,Destroying/removing invertebrate pests by hand,,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",30,Physical/mechanical control of invertebrate pests,TC,Physical/mechanical control of invertebrate pests (vs no physical/mechanical control),20,"Using pressurized sprays (e.g., water cannons)",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",30,Physical/mechanical control of invertebrate pests,TC,Physical/mechanical control of invertebrate pests (vs no physical/mechanical control),30,"Using physical/mechanical traps (e.g., sticky traps)",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",30,Physical/mechanical control of invertebrate pests,TC,Physical/mechanical control of invertebrate pests (vs no physical/mechanical control),40,"Excluding invertebrate pests from crops (e.g., netting or other barriers)",,
30,"Pathogen, pest, and weed management (see other categories for cultural control, host plant resistance, and habitat management)",20,"Invertebrate pest control (e.g., insects and mites)",30,Physical/mechanical control of invertebrate pests,TC,Physical/mechanical control of invertebrate pests (vs no physical/mechanical control),NEC,"Physical/mechanical control of invertebrate pests (vs no physical/mechanical control), n.e.c.",,
