Level1,Level2,Level3,Level4,Level5,Level6,Level7
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Chemical control of pests,Use pheromone traps,,,
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Chemical control of pests,Use soap and water as a spray,,,
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Integrated pest management (IPM),,,,
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Mechanical control of pests,Remove pests by hand,,,
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Mechanical control of pests,Use high-pressure sprays,,,
"5. Diseases, pests, and weeds",Pest control (arthropods and insects),Mechanical control of pests,Use sticky traps,,,
"5. Diseases, pests, and weeds",Pest control (birds),,,,,
"5. Diseases, pests, and weeds",Pest control (mammals),,,,,
"5. Diseases, pests, and weeds",Weed control,Biological control of weeds,,,,
"5. Diseases, pests, and weeds",Weed control,Chemical control of weeds,Use herbicide (vs no herbicide),Post-emergence herbicide,,
"5. Diseases, pests, and weeds",Weed control,Chemical control of weeds,Use herbicide (vs no herbicide),Pre-emergence herbicide,,
"5. Diseases, pests, and weeds",Weed control,Chemical control of weeds,Use less herbicide,,,
"5. Diseases, pests, and weeds",Weed control,Mechanical control of weeds,Animal-driven cultivation,,,
"5. Diseases, pests, and weeds",Weed control,Mechanical control of weeds,Hand cultivation (hoeing),,,
"5. Diseases, pests, and weeds",Weed control,Mechanical control of weeds,Hand weeding (uprooting),,,
"5. Diseases, pests, and weeds",Weed control,Mechanical control of weeds,Tractor-driven cultivation,,,
6. Non-crop habitats and species,Bee-keeping,Rent bees for pollination services,,,,
6. Non-crop habitats and species,Bee-keeping,Keep bees for honey or pollination services,,,,
6. Non-crop habitats and species,Planting,Planting in field margins,Plant buffer strips between fields and watercourses,,,
6. Non-crop habitats and species,Planting,Planting in field margins,Plant flower strips (non-woody vegetation) along field margins,,,
6. Non-crop habitats and species,Planting,Planting in field margins,Plant hedgerows or shelterbelts (woody vegetation) along field margins,,,
6. Non-crop habitats and species,Planting,Planting on the edges of terraces,,,,
6. Non-crop habitats and species,Planting,Planting in other non-crop habitats,Plant woody vegetation to restore non-crop habitats,,,
6. Non-crop habitats and species,Planting,Planting in other non-crop habitats,Plant non-woody vegetation to restore non-crop habitats,,,
6. Non-crop habitats and species,Habitat management,Grazer management,Exclude grazers from non-crop habitats,,,
6. Non-crop habitats and species,Habitat management,Grazer management,Decrease the intensity of grazing in non-crop habitats,,,
6. Non-crop habitats and species,Habitat management,Grazer management,Use grazers to manage vegetation in non-crop habitats,,,
6. Non-crop habitats and species,Habitat management,Field margin management,Mow field margins,,,
6. Non-crop habitats and species,Habitat management,Field margin management,Do not use pesticide in field margins,,,
6. Non-crop habitats and species,Habitat management,Field margin management,Do not till field margins,,,
6. Non-crop habitats and species,Habitat management,Provide resources for wildlife,Provide food for wildlife,,,
6. Non-crop habitats and species,Habitat management,Provide resources for wildlife,Provide structures for wildlife,Nesting structures (or managed sites),Nest boxes,
6. Non-crop habitats and species,Habitat management,Provide resources for wildlife,Provide structures for wildlife,Overwintering structures (or managed sites),,
6. Non-crop habitats and species,Habitat management,Provide resources for wildlife,Provide structures for wildlife,Perches for birds,,
6. Non-crop habitats and species,Habitat management,Create ponds,,,,
6. Non-crop habitats and species,Invasive species control,Biological control of invasive species,,,,
6. Non-crop habitats and species,Invasive species control,Chemical control of invasive species,,,,
6. Non-crop habitats and species,Invasive species control,Mechanical control of invasive species,,,,
7. Farmers,Provide information,Provide decision-support tools to farmers,,,,
7. Farmers,Provide information,Provide training to farmers,,,,
7. Farmers,Provide financial aid,Provide loans to farmers,,,,
7. Farmers,Provide financial aid,Provide grants to farmers,,,,
7. Farmers,Provide financial aid,Provide free or subsidized inputs to farmers (including fertilizer and seed),,,,
7. Farmers,Provide financial aid,Provide free or subsidized equipment to farmers,,,,
7. Farmers,Provide financial aid,Provide payments to farmers (including agri-environment payments),,,,
8. Infrastructure,Create or improve transportation networks,,,,,
8. Infrastructure,Create or improve marketplaces,,,,,
8. Infrastructure,Create or improve processing facilities,,,,,
9. Regulations,Create regulations,,,,,
9. Regulations,Enforce regulations,,,,,
