Level1,Level2,Level3,Level4
4 Oilseed crops and oleaginous fruits,4.04 Permanent oilseed crops,"4.04.90 Other oleaginous fruits, n.e.c.",
5 Root/tuber crops with high starch or inulin content,5.01 Potatoes,,
5 Root/tuber crops with high starch or inulin content,5.02 Sweet potatoes,,
5 Root/tuber crops with high starch or inulin content,5.03 Cassava,,
5 Root/tuber crops with high starch or inulin content,5.04 Yams,,
5 Root/tuber crops with high starch or inulin content,5.05 Taro,,
5 Root/tuber crops with high starch or inulin content,5.06 Yautia,,
5 Root/tuber crops with high starch or inulin content,"5.90 Other roots and tubers, n.e.c.",,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,6.01.01 Coffee,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,6.01.02 Tea,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,6.01.03 Maté,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,6.01.04 Cocoa,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,6.01.05 Chicory roots,
"6 Stimulant, spice and aromatic crops",6.01 Stimulant crops,"6.01.90 Other stimulant crops, n.e.c. (not incl. 9.03.02.02 Coca or 9.06 Tobacco)",
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.01 Temporary spice and aromatic crops,6.02.01.01 Chillies and peppers (Capsicum spp.)
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.01 Temporary spice and aromatic crops,"6.02.01.02 Anise, badian, and fennel"
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.01 Temporary spice and aromatic crops,"6.02.01.90 Other temporary spice crops, n.e.c."
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.01 Pepper (Piper spp.)
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,"6.02.02.02 Nutmeg, mace, cardamoms"
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.03 Cinnamon (canella)
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.04 Cloves
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.05 Ginger
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.06 Vanilla
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,6.02.02.07 Hops
"6 Stimulant, spice and aromatic crops",6.02 Spice and aromatic crops,6.02.02 Permanent spice and aromatic crops,"6.02.02.90 Other permanent spice and aromatic crops, n.e.c."
7 Leguminous crops,7.01 Beans (not incl. 4.01 Soya beans),,
7 Leguminous crops,7.02 Broad beans,,
7 Leguminous crops,7.03 Chickpeas,,
7 Leguminous crops,7.04 Cowpeas,,
7 Leguminous crops,7.05 Lentils,,
7 Leguminous crops,7.06 Lupins,,
7 Leguminous crops,7.07 Peas,,
7 Leguminous crops,7.08 Pigeon peas,,
7 Leguminous crops,7.09 Bambara beans,,
7 Leguminous crops,7.10 Vetches,,
7 Leguminous crops,"7.90 Leguminous crops, n.e.c.",,
8 Sugar crops,8.01 Sugar beet,,
8 Sugar crops,8.02 Sugar cane,,
8 Sugar crops,8.03 Sweet sorghum,,
8 Sugar crops,"8.90 Other sugar crops, n.e.c.",,
9 Other crops,9.01 Grasses and other fodder crops,9.01.01 Temporary grass and fodder crops,
9 Other crops,9.01 Grasses and other fodder crops,9.01.02 Permanent grass and fodder crops,
9 Other crops,9.02 Fibre crops,9.02.01 Temporary fibre crops,9.02.01.01 Cotton
9 Other crops,9.02 Fibre crops,9.02.01 Temporary fibre crops,"9.02.01.02 Jute, kenaf, and other similar crops"
9 Other crops,9.02 Fibre crops,9.02.01 Temporary fibre crops,9.02.01.03 Flax
9 Other crops,9.02 Fibre crops,9.02.01 Temporary fibre crops,9.02.01.04 Hemp
9 Other crops,9.02 Fibre crops,9.02.01 Temporary fibre crops,"9.02.01.90 Other temporary fibre crops, n.e.c."
9 Other crops,9.02 Fibre crops,9.02.02 Permanent fibre crops,9.02.02.01 Ramie
9 Other crops,9.02 Fibre crops,9.02.02 Permanent fibre crops,9.02.02.02 Sisal
9 Other crops,9.02 Fibre crops,9.02.02 Permanent fibre crops,"9.02.02.90 Other permanent fibre crops, n.e.c."
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.01 Temporary medicinal, pesticidal or similar crops",9.03.01.01 Mint
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.01 Temporary medicinal, pesticidal or similar crops",9.03.01.02 Basil
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.01 Temporary medicinal, pesticidal or similar crops","9.03.01.90 Other temporary medicinal, pesticidal or similar crops"
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.02 Permanent medicinal, pesticidal or similar crops",9.03.02.01 Ginseng
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.02 Permanent medicinal, pesticidal or similar crops",9.03.02.02 Coca
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.02 Permanent medicinal, pesticidal or similar crops",9.03.02.03 Kava
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.02 Permanent medicinal, pesticidal or similar crops",9.03.02.04 Guarana
9 Other crops,"9.03 Medicinal, pesticidal or similar crops","9.03.02 Permanent medicinal, pesticidal or similar crops","9.03.02.90 Other permanent medicinal, pesticidal or similar crops"
9 Other crops,9.04 Rubber,,
9 Other crops,9.05 Flower crops,9.05.01 Temporary flower crops,
9 Other crops,9.05 Flower crops,9.05.02 Permanent flower crops,
9 Other crops,9.06 Tobacco,,
9 Other crops,"9.90 Other crops, n.e.c.","9.90.01 Other crops, n.e.c., temporary",
9 Other crops,"9.90 Other crops, n.e.c.","9.90.02 Other crops, n.e.c., permanent",
