Level1,Level2,Level3,Level4,Level5,Level6,Level7,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),"Biological control of pests (also see ""non-crop habitats and species"")",Release biological control agents,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),"Biological control of pests (also see ""non-crop habitats and species"")",Use biopesticide,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use less pesticide,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use pesticide (vs no pesticide),Use organic pesticide (vs no pesticide),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use pesticide (vs no pesticide),Use organic pesticide instead of synthetic pesticide,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use pesticide (vs no pesticide),Use synthetic pesticide (vs no pesticide),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use pheromone traps,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Chemical control of pests,Use soap and water as a spray,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Integrated pest management (IPM),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Mechanical control of pests,Remove pests by hand,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Mechanical control of pests,Use high-pressure sprays,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (insects and other invertebrates),Mechanical control of pests,Use sticky traps,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (birds),,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Pest control (mammals),,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Biological control of weeds,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Chemical control of weeds,Use herbicide (vs no herbicide),Post-emergence herbicide,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Chemical control of weeds,Use herbicide (vs no herbicide),Pre-emergence herbicide,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Chemical control of weeds,Use less herbicide,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Mechanical control of weeds,Animal-driven cultivation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Mechanical control of weeds,Hand cultivation (hoeing),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Mechanical control of weeds,Hand weeding (uprooting),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds",Weed control,Mechanical control of weeds,Tractor-driven cultivation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop harvesting methods,Harvesting schedule,Harvest earlier (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop harvesting methods,Harvesting schedule,Harvest later (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop harvesting methods,Harvesting tools,Harvest by hand (vs machine),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting density and spacing,Plant at higher density (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting density and spacing,Plant at lower density (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting depth and orientation,Plant cuttings diagonally or vertically (vs horizontally),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting depth and orientation,Plant deeper (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting depth and orientation,Plant shallower (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting location,Plant in a better climate type for this crop,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting location,Plant in a better soil type for this crop,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting schedule,Plant earlier (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting schedule,Plant later (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop planting methods,Planting tools,Plant by hand (vs machine),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,"Crop pollination (also see ""non-crop habitats and species"")",Hand-pollinate crops,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,"Crop residues (also see ""tillage"" for residue retention vs incorporation)",Burn crop residues,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,"Crop residues (also see ""tillage"" for residue retention vs incorporation)",Desiccate crop residues using herbicide,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,"Crop residues (also see ""tillage"" for residue retention vs incorporation)",Remove crop residues,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,Rotate cash crops with cover crops (including catch crops and green manures),Grow brassicas as cover crops,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,Rotate cash crops with cover crops (including catch crops and green manures),Grow grasses (including cereals) as cover crops,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,Rotate cash crops with cover crops (including catch crops and green manures),Grow legumes as cover crops,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,Rotate cash crops with cover crops (including catch crops and green manures),Grow mixtures of cover crops,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,Rotate cash crops with fallows,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,"Rotate cash crops with other cash crops (harvested crops, not cover crops)",Rotate with brassicas,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,"Rotate cash crops with other cash crops (harvested crops, not cover crops)",Rotate with cereals,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop rotations and cover crops,"Rotate cash crops with other cash crops (harvested crops, not cover crops)",Rotate with legumes,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant cuttings from disease-free mother plants,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant cuttings from high-yielding mother plants,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant cuttings that are disease-free,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant disease-resistant varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant drought-tolerant varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant dwarf varieties (or graft onto dwarf rootstocks),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant heat-tolerant varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant high-yielding varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant multiple varieties in one field,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant open-pollinated seeds (vs hybrid or genetically-engineered varieties),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant pest-resistant varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant short-season varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant varieties that support beneficial soil organisms,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Crop selection,Plant weed-tolerant varieties,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Intercropping (including relay intercropping),Intercrop with brassicas,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Intercropping (including relay intercropping),Intercrop with cereals,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Intercropping (including relay intercropping),Intercrop with legumes (not trees or shrubs),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Intercropping (including relay intercropping),Intercrop with trees or shrubs (agroforestry),Grow crops between rows of trees (alley cropping),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Intercropping (including relay intercropping),Intercrop with trees or shrubs (agroforestry),Grow crops under trees (shade cropping),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Inoculate with beneficial microorganisms (biofertilizers) before planting ,Inoculate with mycorrhizae,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Inoculate with beneficial microorganisms (biofertilizers) before planting ,Inoculate with rhizobacteria,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Quarantine before planting,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Soak in water before planting,Soak in hot water before planting,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Treat with chemicals before planting,Treat with fungicide before planting,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Treat with chemicals before planting,Treat with herbicide before planting,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Treat with chemicals before planting,Treat with hormones before planting,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Treat with chemicals before planting,Treat with pesticide before planting,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Crops,Seed and cutting treatment,Use sterilized tools,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Land use,Grow crops and keep livestock on the same land (mixed farming),Grow crops and keep terrestrial animals on the same land,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Land use,Grow crops and keep livestock on the same land (mixed farming),Grow crops and keep aquatic animals on the same land (including fish farming),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Land use,Stop growing crops (convert cropland to non-crop habitat),,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Micro-livestock (bees and other invertebrates),Bees,Keep honey bees,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Micro-livestock (bees and other invertebrates),Bees,Rent honey bees,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Poultry,Antibiotics,Use antibiotics (vs no antibiotics),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Poultry,Antibiotics,Use less antibiotics (vs conventional),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Poultry,Keep chickens,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Poultry,Keep fewer chickens (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Pigs,Antibiotics,Use antibiotics (vs no antibiotics),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Pigs,Antibiotics,Use less antibiotics (vs conventional),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Pigs,Keep pigs,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Non-ruminants,Pigs,Keep fewer pigs (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Cattle,Antibiotics,Use antibiotics (vs no antibiotics),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Cattle,Antibiotics,Use less antibiotics (vs conventional),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Cattle,Keep cattle,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Cattle,Keep fewer cattle (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Goats,Antibiotics,Use antibiotics (vs no antibiotics),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Goats,Antibiotics,Use less antibiotics (vs conventional),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Goats,Keep cattle,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Goats,Keep fewer cattle (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Sheep,Antibiotics,Use antibiotics (vs no antibiotics),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Sheep,Antibiotics,Use less antibiotics (vs conventional),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Sheep,Keep sheep,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Livestock and micro-livestock,Ruminants,Sheep,Keep fewer sheep (vs conventional),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add ash to the soil,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add beneficial microorganisms (biofertilizer) to the soil,Inoculate the soil with mycorrhizae,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add beneficial microorganisms (biofertilizer) to the soil,Inoculate the soil with rhizobacteria,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add biochar to the soil,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add compost to the soil,Composted manure,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add compost to the soil,Composted municipal waste,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add compost to the soil,Composted plants,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add lime to the soil,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add manure to the soil,Liquid manure (slurry),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add manure to the soil,Solid manure,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add other organic matter to the soil (including mulch but not crop residues from this field),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Add sewage sludge to the soil,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Organic soil amendments,Use organic fertilizer instead of synthetic fertilizer,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Add nitrification inhibitor to the soil,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use less synthetic fertilizer,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Apply fertilizer to the crops only (not between the crops),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Apply solid fertilizer (vs liquid fertilizer),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use a split application of fertilizer,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use fertilizer below the surface of the soil,Apply fertilizer to planting holes when planting
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use fertilizer below the surface of the soil,Inject fertilizer into the soil
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use fertilizer below the surface of the soil,Incorporate fertilizer into the soil using tillage
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use K fertilizer (not N or P),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use N fertilizer (not P or K),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Soil amendments,Synthetic soil amendments,Use synthetic fertilizer (vs no fertilizer),Use P fertilizer (not N or K),
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Terraforming,Create ditches or drainage channels,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Terraforming,"Create raised beds, ridges, or mounds",,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Terraforming,Create terraces on slopes,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Terraforming,Create water harvesting systems,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Tillage,Use contour tillage on slopes (vs conventional tillage),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Tillage,Use deep tillage (vs conventional tillage),,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Tillage,Use less tillage (retain crop residues as mulch),No tillage (direct seeding),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Tillage,Use less tillage (retain crop residues as mulch),Reduced tillage,Fewer tillage operations,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Soil,Tillage,Use less tillage (retain crop residues as mulch),Reduced tillage,Shallower tillage,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Water,Irrigation,Use irrigation (vs rainfed systems),Drip irrigation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Water,Irrigation,Use irrigation (vs rainfed systems),Flood irrigation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Water,Irrigation,Use irrigation (vs rainfed systems),Furrow irrigation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Water,Irrigation,Use irrigation (vs rainfed systems),Sprinkler irrigation,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,Water,Irrigation,Use less irrigation water,Drip irrigation (vs conventional),,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Insurance,Providing insurance,Providing crop insurance,,,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Subsidies,Providing subsidies for agriculture,Providing subsidies for agricultural equipment,,,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Subsidies,Providing subsidies for agriculture,Providing subsidies for agricultural inputs (including fertilizer and seed),,,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Subsidies,Providing subsidies for agriculture,Providing subsidies for agricultural outputs (including minimum prices),,,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Loans,Providing loans for sustainable development,,,,
"5 Livelihood, economic & moral incentives",5.3 Market-based incentives,Certification of agricultural products & management practices,,,,,
"5 Livelihood, economic & moral incentives",5.4 Direct economic incentives,Payments for ecosystem services (including agri-environment payments),,,,,
"5 Livelihood, economic & moral incentives",5.4 Direct economic incentives,Taxes for unsustainable practices,,,,,
"5 Livelihood, economic & moral incentives",5.4 Direct economic incentives,Compensation for human-wildlife conflict,,,,,
6 Conservation designation & planning,6.1 Protected area designation and/or acquisition,,,,,,
6 Conservation designation & planning,6.2 Easements & resource rights,,,,,,
6 Conservation designation & planning,6.3 Land/water use zoning & designation,,,,,,
6 Conservation designation & planning,6.4 Conservation planning,,,,,,
6 Conservation designation & planning,6.5 Site infrastructure,,,,,,
7 Legal & policy frameworks,"7.1 Laws, regulations & codes",,,,,,
7 Legal & policy frameworks,7.2 Policies & guidelines,Promotion of best management practices,,,,,
8 Research & monitoring,8.1 Basic research & status monitoring,,,,,,
8 Research & monitoring,"8.2 Evaluation, effectiveness measures & learning",,,,,,
9 Education & training,9.1 Formal education,,,,,,
9 Education & training,9.2 Training & individual capacity development,Agricultural extension services (including farmer field schools),,,,,
10 Institutional development,10.1 International organizational management & administration,,,,,,
10 Institutional development,10.2 External organizational development & support,,,,,,
10 Institutional development,10.3 Alliance & partnership development ,,,,,,
10 Institutional development,10.4 Financing conservation,,,,,,
