Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Publisher,Place
1984,"ELSHARKAWY, M A; COCK, J H; HELD, A A",WATER-USE EFFICIENCY OF CASSAVA .2. DIFFERING SENSITIVITY OF STOMATA TO AIR HUMIDITY IN CASSAVA AND OTHER WARM-CLIMATE SPECIES,Crop Science,10.2135/cropsci1984.0011183X002400030018x,,,1984,503-507,3,24,,
1984,"ELSHARKAWY, M A; COCK, J H",WATER-USE EFFICIENCY OF CASSAVA .1. EFFECTS OF AIR HUMIDITY AND WATER-STRESS ON STOMATAL CONDUCTANCE AND GAS-EXCHANGE,Crop Science,10.2135/cropsci1984.0011183X002400030017x,,,1984,497-502,3,24,,
2002,"Mani, H C; Singh, B K; Chakravorty, R","Water-soluble protein and free amino acid (FAA) profiles of the haemolymph of the larva of Eri Silkworm, Philosamia ricini Hutt., in relation to the presence of proteins of such nature and FAA in the diets fed by these caterpillars",Journal of Advanced Zoology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746879957&partnerID=40&md5=62ac162500a3df310b2c7c0e094da4aa,"Water-soluble proteins (resolved on polyacrylamide gel by discelectrophoresis) in the haemolymph of Eri Silkworm larvae fed on Castor leaves though relatively less in total number were in higher concentration. Protein concentration of the castor leaf was also comparatively greater than recorded for Kesseru and Tapioca - the latter showing complete absence of this biochemical constituent. Free amino acids (analyzed by paper partition chromatography) in the larval haemolymph in relation to castor leaf diet were relatively fewer in number while there was a progressive increase in the score of these nitrogenous compounds detected from the haemolymph of caterpllars red on Kesseru and Tapioca leaves. Although, the number of amino acids recorded from Castor and Tapioca leaves was identical, there was a slight difference in their qualitative picture in that Valine and Proline (essential amino acids) were absent in Kesseru and Tapioca leaves. The physiological significance of such variations to the insect during development is discussed.",2002,85-87,2,23,,
1977,"SEFADEDEH, S; MACDONALD, B; RASPER, V F",WATER-SOLUBLE NON-STARCHY POLYSACCHARIDES OF COMPOSITE FLOURS .2. EFFECT,Cereal Chemistry,,,,1977,813-819,4,54,,
2010,"Sun, F; Mao, Z; Zhang, J; Zhang, H; Tang, L; Zhang, C; Zhang, J; Zhai, F; Fubao, Sun; Zhonggui, Mao; Jianhua, Zhang; Hongjian, Zhang; Lei, Tang; Chengming, Zhang; Jing, Zhang; Fangfang, Zhai",Water-recycled Cassava Bioethanol Production Integrated with Two-stage UASB Treatment,Chinese Journal of Chemical Engineering,10.1016/S1004-9541(09)60136-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049460447&doi=10.1016%2FS1004-9541%2809%2960136-1&partnerID=40&md5=a49714394be69629245020d878c2aae6,"Considering limited success in target-hitting discharge from alcohol industry, our attention was directed toward a recycling use of distillery spentwash (DS) in cassava bioethanol production by using a two-stage up-flow anaerobic sludge blanket bioremediation (TS-UASBB). With the TS-UASBB, SO(4)(2-), COD, N and P in the effluent from the DS degraded significantly and their concentrations were kept at 0.2 g.L(-1), 2.0 g.L(-1), 1.0 g.L(-1) and 15 mg.L(-1), respectively, in 13 batch processes for water-recycled ethanol fermentation. With the effluent used directly as dilution water, no heat-resistant bacteria were found alive. The thirteen-batch ethanol production individually achieved 10% after 48 h fermentation. The starch utilization ratio and total sugar consumption were 90% and 99.5%, respectively. The novel water-recycled bioethanol production process with ethanol fermentation and TS-UASBB has a considerable potential in other starchy and cellulosic ethanol production.",2010,837-842,5,18,,
2006,"Buntha, P; Ty, C",Water-extractable dry matter and neutral detergent fibre as indicators of whole tract digestibility in goats fed diets of different nutritive value,Livestock Research for Rural Development,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645224028&partnerID=40&md5=2ab37814c40e116a9adc1b1eeb4b070a,"Fresh foliages of guinea grass (Panicum maximum), cassava (Manihot esculenta), stylo (Sfylosanthesis guiensis, CIAT 183) and water spinach (Ipomoea aquatica) were fed to growing goats in a Completely Randomized Block arrangement with 3 goats and 4 periods, each of 8 days. The aim was to compare the water-ex tract ab le DM of these feeds with NDF values as predictors of whole tract DM digestibility. The proportion of leaf in the foliages offered was highest in cassava with relatively lower values for stylo and water spinach which were similar to each other (only leaves were fed in the case of guinea grass). Some degree of selection occurred during eating as there were indications that on the cassava the goats selected the same proportion of leaf as in the foliage offered, but ate more of the petioles than the stems. For stylo, leaves were preferred slightly more than stems while the opposite was the case with the water spinach. There was a close relationship between water-ex tractable DM and NDF in DM (R2 = 0.77; n = 35) in the different botanical components of the four foliages. DM intakes were highest on guinea grass and lowest on cassava with intermediate values for stylo and water spinach. Highest DM digestibility was recorded on the water spinach diet with lowest values for cassava. N digestibility was also high for water spinach with the lowest value for guinea grass. Among the guinea grass, stylo and water spinach foliages, there was a close relationships between DM digestibility and the two chosen indicators:- NDF and water extractable DM , with the closest fit being observed for the latter (R2 = 0.85 and 0.98, respectively; n=3). The data for cassava did not fit in either of these relationships. It is concluded that the water-extractable DM technique is a simple, low cost, and effective method that is equal to, or superior than, NDF as a predictor of the the DM digestibility of most forages. Forages for which the method is inappropriate (eg: cassava) are likely to be those which contain anti-nutritional substances known to affect negatively feed intake and digestibility. Urine excretion was 6 times higher, relative to live weight, and 2 times higher, relative to water consumed from the forages, in goats fed water spinach compared with the other foliages.",2006,13-24,3,18,,
2013,"Yooyongwech, S; Theerawitaya, C; Samphumphuang, T; Cha-um, S",Water-deficit tolerant identification in sweet potato genotypes (Ipomoea batatas (L.) Lam.) in vegetative developmental stage using multivariate physiological indices,Scientia Horticulturae,10.1016/j.scienta.2013.07.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884145600&doi=10.1016%2Fj.scienta.2013.07.041&partnerID=40&md5=37f7cf4bb70fe8b6443679858b2a4c6d,"Sweet potato (Ipomoea batatas [L.] Lam.) is one of three main storage root crops of global importance after potato and cassava. It serves as the primary source of carbohydrate for the world population in developing countries. Sweet potato has been reported as drought sensitive, especially in the rain fed region with extended drought condition. Some cultivars might be more tolerant to drought stress compared to others. We investigated the physiological and morphological responses and storage root yield attributes of 6 sweet potato genotypes (cvs. Manphuang and Mankorat, PROC 65-3, Banyang 9, Tainung 57 and Japanese yellow) to water deficit stress (15% SWC) with an aim to classify the water deficit tolerance using the relationship between free proline and osmotic adjustments. Osmotic potential (Ψs), chlorophyll b (Chlb), maximum quantum yield of PSII (Fv/Fm), plant height and number of leaves in sweet potato cv. PROC 65-3 grown under water deficit condition (15% SWC) were better than those in other cultivars. The yield reduction, growth inhibition, free proline enrichment, osmotic potential maintaining, chlorophyll degradation, chlorophyll fluorescence diminution, net photosynthetic rate (Pn), stomatal conductance (gs) and transpiration rate (E) reduction in water deficit stressed plants were subjected to Ward's cluster analysis. Mankorat, PROC 65-3 and Japanese Yellow were classified as water deficit tolerance whereas Manphuang, Banyang 9 and Tainung 57 genotypes were evaluated as water deficit sensitive. The study concludes that free proline accumulation may play a key role as major osmotic adjustment in sweet potato and negative correlated with osmotic potential of leaf tissues when plants subjected to water deficit. © 2013 Elsevier B.V.",2013,242-251,,162,,
1989,"YAO, N R; GOUE, B; ZELLER, B",WATER-CONSUMPTION AND EFFICIENCY OF A CASSAVA CROP IN SOUTHERN IVORY-COAST,Agronomie Tropicale,,,,1989,27-34,1,44,,
2014,"Navia, D P; Ayala, A A; Villada, H S",Water vapor adsorption of flour bioplastics made from two varieties of cassava (Manihot esculenta Crantz),Informacion Tecnologica,10.4067/S0718-07642014000600004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911887781&doi=10.4067%2FS0718-07642014000600004&partnerID=40&md5=0a3dc8bd4abdda25047eb8493a57a4ef,"The objective of this study was to evaluate the ability of water vapor adsorption of bioplastics produced by the thermo-compression technique using flour of two cassava varieties (CM 4574-7 and CM 523-7) and three mixtures, with fique dust and glycerol. The experimental values of adsorption were adjusted using Peleg, GAB, Caurie, Smith, and Henderson mathematical models. The results showed that the isotherms had a convex shape to abscissa axis, classified quantitatively as Type III. The mixtures used did not affect significantly the performance of water vapor adsorption, while the variety of cassava affected it significantly (p<0.05) in values of water activity above 0.85. The variety CM 4574-7 showed the highest values. Peleg's model showed the best fit to the experimental data of equilibrium moisture content. © 2014, Centro de Informacion Tecnologica. All rigths reserved.",2014,23-32,6,25,,
2011,"Rhim, Jong-Whan",Water Vapor Adsorption Isotherms of Agar-Based Nanocomposite Films,Journal of Food Science,10.1111/j.1750-3841.2011.02378.x,,"Adsorption isotherms of agar and agar/clay nanocomposite films prepared with different types of nanoclays, that is, a natural montmorillonite (Cloisite Na(+)) and 2 organically modified montmorillonites (Cloisite 30B and Cloisite 20A), were determined at 3 different temperatures (10, 25, and 40 degrees C). The water vapor adsorption behavior of the nanocomposite films was found to be greatly influenced with the type of clay. The Guggenheim-Anderson-de Boer (GAB) isotherm model parameters were estimated by using both polynomial regression and nonlinear regression methods and it was found that the GAB model fitted adequately for describing experimental adsorption isotherm data for the film samples. The monolayer moisture content (m(o)) of the film samples was also greatly affected by the type of nanoclay used, that is, m(o) of nanocomposite films was significantly lower than that of the neat agar film. Nanocomposite films prepared with hydrophobic nanoclays (Cloisite 30B and Cloisite 20A) exhibited lower m(o) values than those prepared with hydrophilic nanoclay (Cloisite Na(+)).",2011,N68-N72,8,76,,
,"Odubanjo Federal Univ. of Technology, Akure (Nigeria). Dept. of Agricultural Engineering, O O; Olufayo Federal Univ. of Technology, Akure (Nigeria). Dept. of Agricultural Engineering, A A; Oguntunde Federal Univ. of Technology, Akure (Nigeria). Dept. of Agricultural Engineering, P G","Water use, growth, and yield of drip irrigated cassava in a humid tropical environment",Soil and Water Research - UZEI (Czech Republic),,,"Field experiments were conducted at the Agricultural Engineering Experimental Farm of The Federal University of Technology, Akure, during 2006/2007 and 2007/2008 seasons to investigate the response of cassava under drip irrigation. The experiment was laid out in a randomised complete block design with three replications. The treatments were based on four different water regimes as follows: T100 receiving 100% available water (AW), T50 and T25 receiving 50% and 25% of AW, and T0 with zero irrigation (control treatment). Disease free stems of the cassava cultivar TMS 91934 were planted at a spacing of 1 m by 1 m. Our results presented for the both studied years, respectively, indicated that T100 produced the highest average total dry matter yields (49.12 and 37.62 t/ha). However, the average total dry matter production in T50, T25, and T0 showed significant differences in their values. Low total dry matter yields of 7.12 and 5.92 t/ha were associated with T0. The total water use of 1,491.75 and 1,701.13 mm was recorded for T100, while total water use of 729.00 and 651.13 mm was obtained for T0. The water use efficiency ranged between 7.38 kg/ha and 32.93 kg/ha. The percentages of total water applied from total water use for T100 were 51.11% and 61.72%, while 14.83% and 17.85% were recorded for T25.",,,,v. 6,,
2011,"Odubanjo, O; Olufayo, A; Oguntunde, P","Water use, growth, and yield of drip irrigated cassava in a humid tropical environment",Soil and Water Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953170286&partnerID=40&md5=234f7a847e71b54ac32d3977c412971f,"Field experiments were conducted at the Agricultural Engineering Experimental Farm of The Federal University of Technology, Akure, during 2006/2007 and 2007/2008 seasons to investigate the response of cassava under drip irrigation. The experiment was laid out in a randomised complete block design (RCBD) with three replications. The treatments were based on four different water regimes; with T100 receiving 100% available water (AW), T50 and T25 receiving 50% and 25% of AW and T 0 with zero irrigation (control treatment). Disease free stems of the cassava cultivar TMS 91934 were planted at a spacing of 1 m by 1 m. The results indicated that T100 full treatment produced the highest average total dry matter yield of 49.12 and 37.62 t/ha in 2006/07 and 2007/08 cropping seasons, respectively. However, the average total dry matter production in T50, T25, and T0 showed significant differences in their values. Low total dry matter yields of 7.12 and 5.92 t/ha, respectively, were associated with T0 for the two cropping seasons. The total water use of 1491.75 and 1701.13 mm was recorded for T100, while total water use of 729.00 and 651.13 mm were obtained for T0 in the two cropping seasons. The water use efficiency determined for the two cropping seasons ranged between 7.38 kg/ha and 32.93 kg/ha. The percentages of total water applied from total water use for T100 were 51.11% and 61.72%, while 14.83% and 17.85% were recorded for T25 for 2006/07 and 2007/08 cropping seasons, respectively.",2011,Oct-20,1,6,,
1985,"Dumaluan, D L",Water use studies by crops under different management and environmental conditions in Eastern Visayas Region [Philippines],,,,"Five soil types, namely, Umingan clay loam, Palo clay loam, Faraon clay loam, San Manuel silt loam, and Mandaue clay were used. The rootcrops studied were: sweet potato, cassava, kalpao gabi, lowland gabi, sweet potato combined with cassava, sweet potato combined with kalpao gabi, and cassava combined with lowland gabi. Field capacity of the soil were measured. Daily water consumptive use in mm of different crops during wet and dry seasons were presented",1985,,,,,
2010,"Adeoti, O",Water use impact of ethanol at a gasoline substitution ratio of 5% from cassava in Nigeria,Biomass and Bioenergy,10.1016/j.biombioe.2010.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954860489&doi=10.1016%2Fj.biombioe.2010.02.006&partnerID=40&md5=64f06d67feda5b23abe4f481eda2c2b4,"The process of fuel ethanol production from cassava root is connected to a chain of impacts on the water resource of the country where the cassava plant is grown and the root processed into fuel ethanol. The paper assesses the impact of the domestic production of 5 per cent ethanol (E5) needed under the Nigerian biofuel programme from cassava root on the water resource of Nigeria. Using the 2007 Premium Motor Spirit (PMS) consumption as the baseline, Nigeria will require about 0.49 hm3 of ethanol to blend 9.32 hm3 of PMS to arrive at the 2007 consumption estimates. The impact of the domestic production of this ethanol requirement translates to about 6.0 km3 of water; out of which about 48 per cent is green and about 52 per cent is blue. Addressing future impact typical of a developing economy like Nigeria, a three-scenario analysis was adopted to examine the impact of future growth in cassava-fuel ethanol requirement on the water resource of Nigeria, and also, the impact of improved water use on the future water footprint of E5. The projected water impact of cassava-ethanol production into the future ranges from 6.02 to 7.28 km3, while improved water use could lower these values by about 0.04-2.35 km3 for the same period, 2010 to 2020, under the projection assumptions made. © 2010 Elsevier Ltd.",2010,985-992,7,34,,
2009,"Olanrewaju, O O; Olufayo, A A; Oguntunde, P G; Ilemobade, A A",Water use efficiency of Manihot Esculenta Crantz under drip irrigation system in South Western Nigeria,European Journal of Scientific Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349196342&partnerID=40&md5=e75516513f7a7f430ff017f14fafe546,"Field experiments was conducted at Teaching and Research Farm, Federal University of Technology, Akure between November 2006 and November 2007 to find out the water use efficiency under drip irrigation system and effect on the growth and yield of Cassava (Manihot esculenta Crantz). A popular hybrid of cassava TMS 30572 was tried as a test crop. The soil of the experimental site was moderately drained, loamy sand. The experiments were laid out in a 4 × 4 × 2 randomised complete block design (RCBD) consisting of 4 treatments, 4 replicates and 2 varieties using a spacing of (1m × 0.8m) for mechanical harvesting. The results indicated that the highest moisture content was recorded at depth of 40cm during the late stage of tuber development and the highest biomass yield was recorded under full irrigation treatment than in other treatments. The yield of cassava ranged from 21.87 to 14.13 t ha-1 in all the treatments except for the control that has 8.45 t ha-1 while the water use efficiency ranged from 19.18 to 23.63 kg ha-1mm. Irrigation through full treatment registered the highest mean tuber yield of 21.87 t ha-1 while the least tuber yield was associated with the control treatment. The height and stem diameter of cassava also responded higher under full treatment of available water. This study demonstrated that medium irrigation (60% AW) could be best option in terms of water efficiency. © EuroJournals Publishing, Inc. 2009.",2009,576-587,4,27,,
,"Cock, J H; Porto, M C M; El-Sharkawy, M A",Water use efficiency of cassava. III. Influence of air humidity and water stress on gas exchange of field grown cassava,Crop science (USA),,,,,,,v. 25,,
1984,"M.A., El Sharkawy; J.H., Cock; A.A., Held K",Water use efficiency of cassava. II. Differing sensitivity of stomata to air humidity in cassava and other warm-climate species [Manihot esculenta].,Crop Science,,,,1984,,,v. 24,,
1984,"M.A., El Sharkawy; J.H., Cock","Water use efficiency of cassava. I. Effects of air humidity and water stress on stomatal conductance and gas exchange [Manihot esculenta, photosynthesis].",Crop Science,,,,1984,,,v. 24,,
2010,"Aspiazú, I; Sediyama, T; Ribeiro, J I; Silva, A F A; Concenco, G; Ferreira, E A; Galon, L; Silva, A F A; Borges, E T; Araujo, W F; Aspiazu, I; Sediyama, T; Ribeiro Jr, J; Silva, A F A; Concenco, G; Ferreira, E A; Galon, L; Silva, A F A; Borges, E T; Araujo, W F",Water use efficiency of cassava plants under competition conditions,Planta Daninha,10.1590/S0100-83582010000400001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751614861&partnerID=40&md5=9b039a015e4f443fefbabc42676da99a,"The objective of this work was to evaluate characteristics associated with the photosynthetic activity of cassava plants in competition with weeds or not. The trial was performed on open environment conditions, with experimental units consisting of fiber glass vases with 150 dm(3) filled with Red Yellow Latosol, previously fertilized. Treatments consisted in the cultivation of cassava plants isolated and associated to three weed species (Bidens pilosa, Commelina benghalensis and Brachiaria plantaginea). After cassava shooting, 15 days after planting, a removal of the weeds excess was performed, sown at the time of cassava planting, leaving six plants m(-2) of B. pilosa and four plants m(-2) of C. benghalensis and B. plantaginea. At 60 days after emergence (DAE), stomatal conductance (Gs), vapor pressure in the substomatal cavity (E(an)), temperature gradient between leaf and air (Delta T), transpiration rate (E) and water use efficiency (WUE) were evaluated. B. pilosa showed greater capacity to affect growth of cassava plants. B. plantaginea is very efficient in using water, especially by presenting C(4) metabolism, and remains competitive with cassava even under temporarily low water status. C. benghalensis, in turn, is not a good competitor for light and apparently is not the primary cause of water depletion in the soil. The effects of weeds, in this case, were more associated with the competition. However, they were found between moderate to low. This implies that the competition established at experimental level was low.",2010,699-703,4,28,,
,"Yao  Abidjan (Cote d'Ivoire)), N R (Laboratory of Bioclimatology ENSA; Goue, B",Water use efficiency of a cassava crop as affected by soil water balance,Agricultural and Forest Meteorology (Netherlands),,,,,,,v. 61,,
