Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TT,Using a different method/tool for physical/mechanical control of invasive plants,NEC,"Using a different method/tool for physical/mechanical control of invasive plants, n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TC,Biological control of pathogens (vs no biological control),10,Introducing biological control agents for pathogens,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TC,Biological control of pathogens (vs no biological control),NEC,"Biological control of pathogens (vs no biological control), n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TT,Using a different method/tool/species for biological control of pathogens,NEC,"Using a different method/tool/species for biological control of pathogens, n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TC,Chemical control of pathogens (vs no chemical control),10,Using a fungicide or mixture of fungicides,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TC,Chemical control of pathogens (vs no chemical control),NEC,"Chemical control of pathogens (vs no chemical control), n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,10,Using a different amount of fungicide,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,20,Using a different method of applying fungicide,Fumigating the soil,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,30,Using a different type of fungicide or mixture of fungicides,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,NEC,"Using a different method/tool/chemical for chemical control of pathogens, n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),10,Destroying diseased plants in the field,Burning diseased plants in the field,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),10,Destroying diseased plants in the field,Burying diseased plants in the field,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),20,Removing diseased plants from the field,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),NEC,"Physical/mechanical control of pathogens (vs no physical/mechanical control), n.e.c.",,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TT,Using a different method/tool for physical/mechanical control of pathogens,NEC,"Using a different method/tool for physical/mechanical control of pathogens, n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TC,Biological control of invertebrates (vs no biological control),10,Introducing biological control agents for invertebrates,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TC,Biological control of invertebrates (vs no biological control),20,Using a biopesticide or mixture of biopesticides,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TC,Biological control of invertebrates (vs no biological control),NEC,"Biological control of invertebrates (vs no biological control), n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TT,Using a different method/tool/species for biological control of invertebrates,NEC,"Using a different method/tool/species for biological control of invertebrates, n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),10,Using a pesticide or mixture of pesticides,Using organic pesticide,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),20,"Using chemical traps/lures (e.g., pheromone traps)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),NEC,"Chemical control of invertebrates (vs no chemical control), n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,10,Using a different amount of pesticide,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,20,Using a different method of applying pesticide,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,30,Using a different type of pesticide or mixture of pesticides,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,NEC,"Using a different method/tool/chemical for chemical control of invertebrates, n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),10,Destroying/removing invertebrates by hand,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),20,"Using pressurized sprays (e.g., water cannons)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),30,"Using physical/mechanical traps (e.g., sticky traps)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),40,"Excluding invertebrates (e.g., using netting or other barriers)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),NEC,"Physical/mechanical control of invertebrates (vs no physical/mechanical control), n.e.c.",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TT,Using a different method/tool for physical/mechanical control of invertebrates,NEC,"Using a different method/tool for physical/mechanical control of invertebrates, n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TC,Biological control of vertebrates (vs no biological control),10,Introducing biological control agents for vertebrates,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TC,Biological control of vertebrates (vs no biological control),NEC,"Biological control of vertebrates (vs no biological control), n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TT,Using a different method/tool/species for biological control of vertebrates,NEC,"Using a different method/tool/species for biological control of vertebrates, n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TC,Chemical control of vertebrates (vs no chemical control),10,Using a poison or mixture of poisons,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TC,Chemical control of vertebrates (vs no chemical control),NEC,"Chemical control of vertebrates (vs no chemical control), n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,10,Using a different amount of poison,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,20,Using a different method of applying poison,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,30,Using a different type of poison or mixture of poisons,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,NEC,"Using a different method/tool/chemical for chemical control of vertebrates, n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TC,Physical/mechanical control of vertebrates (vs no physical/mechanical control),10,"Excluding vertebrates (e.g., using netting, fencing, or other barriers)",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TC,Physical/mechanical control of vertebrates (vs no physical/mechanical control),20,"Repelling vertebrates (e.g., using bird scarers or other deterrents)",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TC,Physical/mechanical control of vertebrates (vs no physical/mechanical control),NEC,"Physical/mechanical control of vertebrates (vs no physical/mechanical control), n.e.c.",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TT,Using a different method/tool for physical/mechanical control of vertebrates,NEC,"Using a different method/tool for physical/mechanical control of vertebrates, n.e.c.",,
10,Invasive species management,60,"Integrated management, n.e.c.",10,"Early detection and rapid response (EDRR), n.e.c.",TC,Early detection and rapid response (EDRR) (vs control),NEC,"Early detection and rapid response (EDRR) (vs control), n.e.c.",,
10,Invasive species management,60,"Integrated management, n.e.c.",10,"Early detection and rapid response (EDRR), n.e.c.",TT,Early detection and rapid response (EDRR) using a different method/tool,NEC,"Early detection and rapid response (EDRR) using a different method/tool, n.e.c.",,
10,Invasive species management,60,"Integrated management, n.e.c.",20,"Integrated pest management (IPM), n.e.c.",TC,Integrated pest management (IPM) (vs control),NEC,"Integrated pest management (IPM) (vs control), n.e.c.",,
10,Invasive species management,60,"Integrated management, n.e.c.",20,"Integrated pest management (IPM), n.e.c.",TT,Integrated pest management (IPM) using a different method/tool/species,NEC,"Integrated pest management (IPM) using a different method/tool/species, n.e.c.",,
10,Invasive species management,NEC,"Invasive species management, n.e.c.",,,,,,,,
30,Habitat management,10,Managing plant communities,10,"Planting (e.g., reseeding with native species)",TC,Planting (vs control),NEC,"Planting (vs control), n.e.c.",,
30,Habitat management,10,Managing plant communities,10,"Planting (e.g., reseeding with native species)",TT,Planting using a different method/tool/species,NEC,"Planting using a different method/tool/species, n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Burning,TC,Burning (vs control),NEC,"Burning (vs control), n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Burning,TT,Burning using a different method/tool,NEC,"Burning using a different method/tool, n.e.c.",,
30,Habitat management,10,Managing plant communities,30,Mowing,TC,Mowing (vs control),NEC,"Mowing (vs control), n.e.c.",,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,10,Mowing at a different time or with a different frequency,,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,20,Mowing at a different height,,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,30,"Mowing using machines (e.g., vs mowing using hand tools)",,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,NEC,"Mowing using a different method/tool, n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Grazing,TC,Introducing grazers (vs control),NEC,"Grazing (vs control), n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Introducing grazers using a different method/tool/species,10,"Using a different type of grazer (e.g., traditional breeds)",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Introducing grazers using a different method/tool/species,20,Using fewer grazers (i.e. lower stocking rates),,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Introducing grazers using a different method/tool/species,30,"Using less intensive grazing (e.g., seasonal grazing vs continuous grazing)",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Introducing grazers using a different method/tool/species,NEC,"Introducing grazers using a different method/tool/species, n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Excluding grazers,TC,Excluding grazers (vs control),10,Fencing,,
30,Habitat management,10,Managing plant communities,20,Excluding grazers,TC,Excluding grazers (vs control),NEC,"Excluding grazers (vs control), n.e.c.",,
30,Habitat management,10,Managing plant communities,20,Excluding grazers,TT,Excluding grazers using a different method/tool,NEC,"Excluding grazers using a different method/tool, n.e.c.",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),10,"Providing perches (e.g., for birds)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),20,"Providing cavities (e.g., nest boxes)",Providing bird boxes,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),20,"Providing cavities (e.g., nest boxes)",Providing bat boxes,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),30,"Providing soil features for wildlife (e.g., beetle banks)",Providing beetle banks,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),40,"Providing water features for wildlife (e.g., ponds)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),NEC,"Providing structures/features for wildlife (vs control), n.e.c.",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TT,Providing structures/features for wildlife using a different method/tool/material,NEC,"Providing structures for wildlife using a different method/tool/structure, n.e.c.",,
30,Habitat management,30,Retaining habitats in the surrounding area,10,"Retaining artificial habitats (e.g., old buildings or walls)",TC,"Retaining artificial habitats (vs control; e.g., vs destroying habitats)",NEC,"Retaining artificial habitats (vs control), n.e.c.",,
30,Habitat management,30,Retaining habitats in the surrounding area,10,"Retaining artificial habitats (e.g., old buildings or walls)",TT,Retaining artificial habitats using a different method/tool,NEC,"Retaining artificial habitats using a different method/tool, n.e.c.",,
30,Habitat management,30,Retaining habitats in the surrounding area,20,"Retaining semi-natural habitats (e.g., riparian areas)",TC,Retaining semi-natural habitats (vs control),NEC,"Retaining semi-natural habitats (vs control), n.e.c.",,
30,Habitat management,30,Retaining habitats in the surrounding area,20,"Retaining semi-natural habitats (e.g., riparian areas)",TT,Retaining semi-natural habitats using a different method/tool,NEC,"Retaining semi-natural habitats using a different method/tool, n.e.c.",,
30,Habitat management,40,"Restoring habitats, n.e.c.",10,"Restoring artificial habitats (e.g., old buildings or walls)",TC,Restoring artificial habitats (vs control),NEC,"Restoring artificial habitats (vs control), n.e.c.",,
30,Habitat management,40,"Restoring habitats, n.e.c.",10,"Restoring artificial habitats (e.g., old buildings or walls)",TT,Restoring artificial habitats using a different method/tool/material,NEC,"Restoring artificial habitats using a different method/tool/material, n.e.c.",,
30,Habitat management,40,"Restoring habitats, n.e.c.",20,"Restoring semi-natural habitats (e.g., riparian areas)",TC,Restoring semi-natural habitats (vs control),NEC,"Restoring semi-natural habitats (vs control), n.e.c.",,
30,Habitat management,40,"Restoring habitats, n.e.c.",20,"Restoring semi-natural habitats (e.g., riparian areas)",TT,Restoring semi-natural habitats using a different method/tool/species,NEC,"Restoring semi-natural habitats using a different method/tool/species, n.e.c.",,
30,Habitat management,NEC,"Habitat management, n.e.c.",,,,,,,,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",10,Providing resources for wildlife,10,"Providing food for wildlife (also see ""habitat management"")",TC,Providing food for wildlife (vs control),NEC,"Providing food for wildlife (vs control), n.e.c.",,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",10,Providing resources for wildlife,10,"Providing food for wildlife (also see ""habitat management"")",TT,Providing food for wildlife using a different method/tool/food,NEC,"Providing food for wildlife using a different method/tool/food, n.e.c.",,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",NEC,"Species management, n.e.c.",,,,,,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,10,"Clearing land (e.g., using bulldozers to scrape away the vegetation)",TC,Clearing land (vs control),,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,10,"Clearing land (e.g., using bulldozers to scrape away the vegetation)",TT,Clearing land using a different method/tool,,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,20,"Landscaping (e.g., making terraces or digging drainage ditches)",TC,Landscaping (vs control),,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,20,"Landscaping (e.g., making terraces or digging drainage ditches)",TT,Landscaping using a different method/tool,,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,30,Plowing,TC,Plowing (vs control; i.e. vs no tillage),,,,
50,"Soil, land, and water management",10,Preparing land for planting or building,30,Plowing,TT,Plowing using a different method/tool,,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,10,Fertilizing/amending the soil,TC,Fertilizing/amending the soil (vs control),,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,10,Fertilizing/amending the soil,TT,Fertilizing/amending the soil using a different method/tool/material,,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,20,Irrigating,TC,Irrigating (vs control),,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,20,Irrigating,TT,Irrigating using a different method/tool/source of water,,,,
50,"Soil, land, and water management",NEC,"Soil, land, and water management, n.e.c.",,,,,,,,
