Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TT,Using a different method/tool for physical/mechanical control of invertebrates,,,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",40,"Integrated control of invasive invertebrates, n.e.c.",TC,Integrated control of invasive invertebrates (vs no integrated control),,,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",40,"Integrated control of invasive invertebrates, n.e.c.",TT,Integrated control of invasive invertebrates using a different method/tool/species,,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TC,Biological control of vertebrates (vs no biological control),,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TC,Biological control of vertebrates (vs no biological control),,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",10,Biological control of vertebrates,TT,Using a different method/tool/species for biological control of vertebrates,,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TC,Chemical control of vertebrates (vs no chemical control),10,Using a poison or mixture of poisons,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TC,Chemical control of vertebrates (vs no chemical control),20,"Using chemical attractants/traps (e.g., pheromone traps)",,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TC,Chemical control of vertebrates (vs no chemical control),30,Using chemical deterrents,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,10,Using a different amount of poison,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,20,Using a different method of applying poison,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",20,Chemical control of vertebrates,TT,Using a different method/tool/chemical for chemical control of vertebrates,30,Using a different type of poison or mixture of poisons,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TC,Physical/mechanical control of vertebrates (vs no physical/mechanical control),10,Destroying/removing vertebrates using physical force,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TC,Physical/mechanical control of vertebrates (vs no physical/mechanical control),20,Excluding/repelling vertebrates,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",30,Physical/mechanical control of vertebrates,TT,Using a different method/tool for physical/mechanical control of vertebrates,,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",40,"Integrated control of invasive vertebrates, n.e.c.",TC,Integrated control of invasive invertebrates (vs no integrated control),,,,
10,Invasive species management,50,"Invasive vertebrate management (e.g., birds and mammals)",40,"Integrated control of invasive vertebrates, n.e.c.",TT,Integrated control of invasive invertebrates using a different method/tool/species,,,,
10,Invasive species management,60,"Integrated management, n.e.c.",10,"Early detection and rapid response (EDRR), n.e.c.",TC,Early detection and rapid response (EDRR) (vs control),,,,
10,Invasive species management,60,"Integrated management, n.e.c.",10,"Early detection and rapid response (EDRR), n.e.c.",TT,Early detection and rapid response (EDRR) using a different method/tool,,,,
10,Invasive species management,NEC,"Invasive species management, n.e.c.",,,,,,,,
30,Habitat management,10,Managing plant communities,10,"Planting (e.g., reseeding with native species)",TC,Planting (vs control),,,,
30,Habitat management,10,Managing plant communities,10,"Planting (e.g., reseeding with native species)",TT,Planting using a different method/tool/species,,,,
30,Habitat management,10,Managing plant communities,20,Burning,TC,Burning (vs control),,,,
30,Habitat management,10,Managing plant communities,20,Burning,TT,Burning using a different method/tool,10,Burning at a different time or with a different frequency,,
30,Habitat management,10,Managing plant communities,20,Burning,TT,Burning using a different method/tool,20,Burning at a different height,,
30,Habitat management,10,Managing plant communities,30,Mowing,TC,Mowing (vs control),,,,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,10,Mowing at a different time or with a different frequency,,
30,Habitat management,10,Managing plant communities,30,Mowing,TT,Mowing using a different method/tool,20,Mowing at a different height,,
30,Habitat management,10,Managing plant communities,20,Grazing,TC,Grazing (vs control),,,,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Grazing using a different method/tool/species,10,"Excluding grazers (e.g., using fencing)",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Grazing using a different method/tool/species,20,"Grazing at a different time or with a different frequency (e.g., seasonal grazing vs continuous grazing)",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Grazing using a different method/tool/species,30,"Using a different number of grazers (e.g., lower stocking rates)",,
30,Habitat management,10,Managing plant communities,20,Grazing,TT,Grazing using a different method/tool/species,40,"Using a different species of grazer (e.g., traditional breeds)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),10,"Providing perches (e.g., for birds)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),20,"Providing cavities (e.g., nest boxes)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),20,"Providing cavities (e.g., nest boxes)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),30,"Providing soil features for wildlife (e.g., beetle banks)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TC,Providing structures/features for wildlife (vs control),40,"Providing water features for wildlife (e.g., ponds)",,
30,Habitat management,20,Managing habitat features,10,Providing structures/features for wildlife,TT,Providing structures/features for wildlife using a different method/tool/material,,,,
30,Habitat management,30,Retaining habitats in the surrounding area,10,"Retaining artificial habitats (e.g., old buildings or walls)",TC,Retaining artificial habitats (vs control),,,,
30,Habitat management,30,Retaining habitats in the surrounding area,10,"Retaining artificial habitats (e.g., old buildings or walls)",TT,Retaining artificial habitats using a different method/tool,,,,
30,Habitat management,30,Retaining habitats in the surrounding area,20,"Retaining semi-natural habitats (e.g., riparian areas)",TC,Retaining semi-natural habitats (vs control),,,,
30,Habitat management,30,Retaining habitats in the surrounding area,20,"Retaining semi-natural habitats (e.g., riparian areas)",TT,Retaining semi-natural habitats using a different method/tool,,,,
30,Habitat management,40,"Restoring habitats, n.e.c.",10,"Restoring artificial habitats (e.g., old buildings or walls)",TC,Restoring artificial habitats (vs control),,,,
30,Habitat management,40,"Restoring habitats, n.e.c.",10,"Restoring artificial habitats (e.g., old buildings or walls)",TT,Restoring artificial habitats using a different method/tool/material,,,,
30,Habitat management,40,"Restoring habitats, n.e.c.",20,"Restoring semi-natural habitats (e.g., riparian areas)",TC,Restoring semi-natural habitats (vs control),,,,
30,Habitat management,40,"Restoring habitats, n.e.c.",20,"Restoring semi-natural habitats (e.g., riparian areas)",TT,Restoring semi-natural habitats using a different method/tool/species,,,,
30,Habitat management,NEC,"Habitat management, n.e.c.",,,,,,,,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",10,Providing resources for wildlife,10,"Providing food for wildlife (also see ""habitat management"")",TC,Providing food for wildlife (vs control),,,,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",10,Providing resources for wildlife,10,"Providing food for wildlife (also see ""habitat management"")",TT,Providing food for wildlife using a different method/tool/food,,,,
40,"Species management (non-invasive species; e.g., natural enemies of invasive species)",NEC,"Species management, n.e.c.",,,,,,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,10,"Clearing the land (e.g., using bulldozers to scrape away the vegetation)",TC,Clearing the land (vs control),,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,10,"Clearing the land (e.g., using bulldozers to scrape away the vegetation)",TT,Clearing the land using a different method/tool,,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,20,"Landscaping (e.g., making terraces or digging drainage ditches)",TC,Landscaping (vs control),,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,20,"Landscaping (e.g., making terraces or digging drainage ditches)",TT,Landscaping using a different method/tool,,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,30,Plowing,TC,Plowing (vs control; i.e. vs no tillage),,,,
50,"Soil, land, and water management",10,Preparing the land for planting or building,30,Plowing,TT,Plowing using a different method/tool,,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,10,Fertilizing/amending the soil,TC,Fertilizing/amending the soil (vs control),,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,10,Fertilizing/amending the soil,TT,Fertilizing/amending the soil using a different method/tool/material,,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,20,Irrigating,TC,Irrigating (vs control),,,,
50,"Soil, land, and water management",20,Fertilizing and irrigating,20,Irrigating,TT,Irrigating using a different method/tool/source of water,,,,
50,"Soil, land, and water management",NEC,"Soil, land, and water management, n.e.c.",,,,,,,,
